capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,date_diff_days
8001563222016,0,83.0,206711872.0,98.0,0.0,100.0,2.0,100.0,56.0,95.0,3042044133.0,82.0,15893.0,100.0,0.0,100.0,2.0,100.0,14.0,94.0,12294.0,23.0,23.0,100.0,0.0,100.0,0.0,200.0,0.0,34
4000787030016,0,100.0,0.0,100.0,448.0,100.0,5.0,100.0,0.0,100.0,0.0,98.0,16405.0,100.0,0.0,100.0,5.0,100.0,194.0,100.0,194.0,181.0,33.0,100.0,16.0,100.0,0.0,200.0,0.0,13
12000138625024,0,80.0,104224520.0,96.0,0.0,100.0,3.0,100.0,280.0,89.0,771539184.0,94.0,5677.0,100.0,0.0,100.0,3.0,100.0,44.0,100.0,325.0,23.0,23.0,100.0,0.0,100.0,0.0,200.0,0.0,78
8001563222016,0,82.0,158254880.0,91.0,0.0,100.0,7.0,100.0,0.0,96.0,3684169376.0,86.0,12418.0,100.0,0.0,100.0,7.0,100.0,41.0,97.0,6076.0,45.0,45.0,100.0,0.0,100.0,0.0,200.0,0.0,83
12000138625024,0,83.0,194529624.0,91.0,0.0,100.0,7.0,100.0,0.0,86.0,371224180.0,89.0,10486.0,100.0,0.0,100.0,5.0,100.0,136.0,100.0,1500.0,20.0,20.0,100.0,0.0,100.0,0.0,200.0,0.0,32
12000138625024,0,80.0,109375608.0,97.0,0.0,100.0,3.0,100.0,0.0,88.0,703719452.0,92.0,7207.0,100.0,0.0,100.0,2.0,100.0,130.0,100.0,508.0,33.0,33.0,100.0,0.0,100.0,0.0,200.0,0.0,36
12000138625024,0,79.0,85999336.0,99.0,0.0,100.0,1.0,100.0,0.0,81.0,30849736833.0,94.0,5675.0,100.0,0.0,100.0,1.0,100.0,49.0,100.0,332.0,19.0,19.0,100.0,0.0,100.0,0.0,200.0,0.0,23
8001563222016,0,83.0,178591632.0,94.0,0.0,100.0,3.0,100.0,0.0,88.0,570782043.0,79.0,19065.0,100.0,0.0,100.0,3.0,100.0,0.0,89.0,22568.0,24.0,24.0,100.0,0.0,100.0,0.0,200.0,0.0,70
4000787030016,0,118.0,168991304.0,92.0,0.0,100.0,11.0,100.0,0.0,85.0,362526752.0,68.0,28736.0,100.0,0.0,100.0,11.0,100.0,0.0,93.0,15161.0,32.0,32.0,100.0,0.0,100.0,0.0,200.0,0.0,13
12000138625024,0,81.0,125399128.0,94.0,0.0,100.0,5.0,88.0,49376.0,79.0,87336050.0,89.0,9875.0,100.0,0.0,100.0,4.0,100.0,134.0,99.0,2532.0,39.0,39.0,100.0,0.0,100.0,0.0,200.0,0.0,10
